id,Delivery_person_Age,time_for_pickup,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken
8217,35.0,5,4.7,17.440827,78.393391,78.483391,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,29
21099,26.0,15,4.6,12.970221,77.645396,77.775396,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24
43498,36.0,10,4.6,11.010375,76.95295,77.02295,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,47
36571,24.0,5,4.7,18.533811,73.899315,73.959315,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21
28875,32.0,5,4.7,12.323194,76.630583,76.640583,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,21
12151,39.0,15,4.8,12.975377,77.696664,77.786664,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,38
39881,32.0,10,4.7,18.56245,73.916619,74.006619,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,29
9838,38.0,15,3.9,23.374989,85.335486,85.405486,Stormy,Jam,2,Snack,motorcycle,1.0,Yes,Metropolitian,42
5282,25.0,5,4.3,11.003681,76.975525,77.005525,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28
18778,25.0,15,4.3,30.332735,78.054222,78.194222,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,33
1676,33.0,5,4.9,0.0,0.0,0.11,Stormy,Low,1,Drinks,motorcycle,1.0,No,Urban,15
7473,20.0,5,4.8,23.214294,77.435361,77.505361,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,22
30576,27.0,15,4.2,12.914264,77.6784,77.6984,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16
18760,34.0,10,4.7,0.0,0.0,0.09,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,36
24554,37.0,15,4.7,23.374989,85.335486,85.365486,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,37
5689,30.0,10,4.2,21.160522,72.771477,72.831477,Windy,Jam,0,Buffet,motorcycle,1.0,No,Urban,34
35156,22.0,15,4.9,26.913483,75.803139,75.873139,Stormy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,29
35515,36.0,15,4.6,22.74806,75.8934,75.9834,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24
16315,34.0,15,4.2,30.332735,78.054222,78.134222,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,39
31788,36.0,10,4.9,21.173493,72.801953,72.931953,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,27
39074,38.0,5,4.9,12.970221,77.645396,77.685396,Sandstorms,High,2,Buffet,scooter,0.0,No,Metropolitian,30
27524,23.0,5,4.7,12.981615,80.231598,80.261598,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Urban,28
27123,35.0,5,4.9,26.911378,75.789034,75.829034,Stormy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31
4064,31.0,15,4.7,27.159795,78.04299,78.06299,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28
42677,37.0,15,4.9,22.745049,75.892471,75.912471,Sandstorms,Low,2,Drinks,scooter,0.0,No,Metropolitian,27
43439,39.0,15,4.7,12.352058,76.60665,76.61665,Sunny,High,2,Drinks,motorcycle,1.0,No,Metropolitian,23
31306,34.0,15,4.3,30.914057,75.83982,75.96982,Stormy,Jam,2,Snack,scooter,1.0,No,Urban,41
37089,31.0,5,5.0,21.149669,72.772629,72.792629,Stormy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,25
42228,28.0,15,4.9,12.316967,76.603067,76.683067,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,21
17680,27.0,5,4.7,23.355164,85.324097,85.404097,Cloudy,Low,2,Meal,motorcycle,0.0,No,Urban,27
38206,37.0,10,4.7,11.003669,76.976494,77.006494,Fog,Jam,2,Snack,electric_scooter,1.0,No,Urban,27
38233,22.0,5,4.7,12.933298,77.614293,77.644293,Stormy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39
15388,28.0,15,4.9,26.911378,75.789034,75.849034,Windy,Jam,2,Meal,scooter,0.0,No,Metropolitian,16
2626,20.0,5,4.8,22.760072,75.892574,75.952574,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,18
3910,30.0,15,4.9,18.55144,73.804855,73.854855,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,15
9550,22.0,15,4.7,26.902328,75.794257,75.904257,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,28
6082,31.0,15,4.9,11.02091,76.940432,77.010432,Fog,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,51
21052,32.0,5,4.7,23.232357,77.429989,77.539989,Windy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,29
5345,31.0,15,5.0,18.546258,73.904337,73.944337,Sunny,High,2,Buffet,electric_scooter,0.0,No,Metropolitian,16
15252,36.0,15,5.0,17.45971,78.368855,78.478855,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,41
24212,38.0,5,4.5,12.326356,76.619103,76.639103,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,21
32397,33.0,15,4.7,11.021278,76.995017,77.125017,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,29
23263,23.0,5,4.9,21.149669,72.772629,72.782629,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,14
28957,23.0,10,4.9,22.310329,73.169083,73.259083,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,37
26963,25.0,15,4.9,17.455894,78.375467,78.405467,Cloudy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,17
13315,32.0,10,4.1,13.054347,80.257221,80.367221,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39
42721,36.0,15,4.3,18.927584,72.832585,72.912585,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,31
6395,29.0,10,4.5,11.006686,76.951736,76.961736,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,23
28559,35.0,10,4.6,18.56245,73.916619,73.966619,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,25
43847,35.0,10,4.2,23.371292,85.327872,85.437872,Windy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,33
22326,22.0,5,4.5,22.745536,75.893106,75.903106,Sandstorms,Low,2,Drinks,scooter,1.0,No,Urban,16
38677,20.0,10,4.8,21.173493,72.801953,72.841953,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,20
